Trend Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of the month vs Avg Actual Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week_Number,AVERAGE of Cleaned_Actual_Energy(kwh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-wise abnormal usage by date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM of Abnormal_Usage,Cleaned_Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,Grand Total
Alappuzha,45,37,41,48,40,46,39,36,55,50,44,49,37,39,51,53,47,47,47,42,44,42,48,44,37,50,46,48,40,50,1342
Ernakulam,70,59,68,70,63,71,77,62,66,68,64,62,62,60,62,70,57,62,51,69,68,64,67,65,66,59,61,64,60,63,1930
Thiruvananthapuram,55,44,48,42,52,42,48,47,52,48,51,39,48,56,51,58,50,37,54,50,38,48,48,46,65,58,45,50,50,47,1467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-wise Average Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,AVERAGE of Cleaned_Expected_Energy(kwh),AVERAGE of Cleaned_Actual_Energy(kwh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alappuzha,16.11,16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernakulam,15.53,16.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,16.03,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwelling Type vs Actual Energy vs Usage Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwelling_Type,AVERAGE of Usage_Deviation(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,5.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent House,5.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,5.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature category VS Usage_Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temparature_category,AVERAGE of Usage_Deviation(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<25,5.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>30,6.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-30,5.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Score VS Energy Load Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTA of Meter_Id(prefix removed),Load_category(labeled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appliance_Score_Grouped,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,270,1410,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,360,1080,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,150,1380,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupants vs Actual Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num_Occupants,AVERAGE of Cleaned_Actual_Energy(kwh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correlation analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Load Category VS actual energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Load_category(labeled),AVERAGE of Cleaned_Actual_Energy(kwh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupants vs Connected Load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num_Occupants,AVERAGE of Connected_Load(kw),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unique Meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Abnormal Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District with max abnormal usage,,,Helper Pivot Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernakulam,,,District,SUM of Abnormal_Usage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Alappuzha,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ernakulam,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal activity count,,,Thiruvananthapuram,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,